Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.533983,-1.259094,24,Ravensdale,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 8TD,United Kingdom
54.566936,-0.974059,6,Longacre Close,Skelton-in-Cleveland,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 2NS,United Kingdom
54.50486,-1.307421,3,Barwick Lane,High Leven,Yarm,,Stockton-on-Tees,,TS15 9JR,United Kingdom
54.712398,-1.236059,9,Pert Road,Hartlepool,Hartlepool,,Hartlepool,,TS24 9PP,United Kingdom
54.695137,-1.177348,15,South Crescent,Hartlepool,Hartlepool,,Hartlepool,,TS24 0QD,United Kingdom
54.580541,-1.154794,1D,Vaughan Court,Nunthorpe,Middlesbrough,,Redcar and Cleveland,,TS6 7BJ,United Kingdom
54.594074,-1.341242,7,Blakeston Court,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 9JX,United Kingdom
54.528072,-1.359394,2,Boltby Way,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS16 0RH,United Kingdom
54.558059,-0.989436,9,Dorset Road,Skelton-in-Cleveland,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS12 2BT,United Kingdom
54.471709,-1.191257,13,Northfield Drive,Stokesley,Middlesbrough,,North Yorkshire,,TS9 5PF,United Kingdom
54.529722,-1.249316,1,Pineda Close,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 8ED,United Kingdom
54.557055,-1.175258,75,Netherfields Crescent,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 0QN,United Kingdom
54.55327,-1.206922,4,Bridnor Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 7ND,United Kingdom
54.707336,-1.409255,,Unnamed Road,,Trimdon Station,,County Durham,,TS29 6LS,United Kingdom
54.602469,-1.383163,,Middle Bank,,Stockton-on-Tees,,Stockton-on-Tees,,TS21,United Kingdom
54.532888,-1.079742,24,Montagu's Harrier,Guisborough,Guisborough,,Redcar and Cleveland,,TS14 8PB,United Kingdom
54.57395,-1.364448,14,Bishops Way,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 7JS,United Kingdom
54.605014,-1.102457,20,The Fleet,Redcar,Redcar,,Redcar and Cleveland,,TS10 5PF,United Kingdom
54.58032,-1.342098,5,Hart Close,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS19 8BA,United Kingdom
