Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.971878,-1.61559,,Nuns Lane,Newcastle upon Tyne,Newcastle upon Tyne,,Tyne and Wear,,NE1,United Kingdom
54.969989,-1.612903,,A186,Newcastle upon Tyne,Newcastle upon Tyne,,Tyne and Wear,,NE1,United Kingdom
54.98122,-1.424547,176,Mortimer Road,South Shields,South Shields,,Tyne and Wear,,NE34 0RW,United Kingdom
55.027706,-1.575636,2,Cowper Terrace,,Newcastle upon Tyne,,Tyne and Wear,,NE12 7NN,United Kingdom
54.962285,-1.52519,225-265,A185,Hebburn,Hebburn,,Tyne and Wear,,NE31,United Kingdom
55.179046,-1.577983,52,Park Road,Ashington,Ashington,,Northumberland,,NE63 8DY,United Kingdom
55.245803,-1.768384,3,Coronation Terrace,Longhorsley,Morpeth,,Northumberland,,NE65 8UN,United Kingdom
54.96171,-1.790578,6,Westwood View,Crawcrook,Ryton,,Tyne and Wear,,NE40,United Kingdom
54.983189,-1.425795,22,Warwick Road,South Shields,South Shields,,Tyne and Wear,,NE33 4TR,United Kingdom
55.038075,-1.465975,11A,Bromley Avenue,Whitley Bay,Whitley Bay,,Tyne and Wear,,NE25 8TN,United Kingdom
54.949021,-1.613546,27,Westminster Street,Gateshead,Gateshead,,Tyne and Wear,,NE8 4QE,United Kingdom
54.874096,-1.561075,10,Ash Meadows,,Washington,,County Durham,,NE38 9HN,United Kingdom
55.02229,-1.478959,6,Barnstaple Road,North Shields,North Shields,,Tyne and Wear,,NE29 8QA,United Kingdom
54.976581,-1.621014,10-19,Leazes Terrace,Newcastle upon Tyne,Newcastle upon Tyne,,Tyne and Wear,,NE1 4LY,United Kingdom
54.923625,-1.587981,3,Stocksfield Gardens,Gateshead,Gateshead,,Tyne and Wear,,NE9 7TQ,United Kingdom
54.922054,-2.097326,2,Black Hall Mill,Steel,Hexham,,Northumberland,,NE47 0LF,United Kingdom
55.003789,-1.653175,138,Kenton Lane,Newcastle upon Tyne,Newcastle upon Tyne,,Tyne and Wear,,NE3 3QE,United Kingdom
55.021881,-1.657718,3,Royle Close,Newcastle upon Tyne,Newcastle upon Tyne,,Tyne and Wear,,NE13 9AH,United Kingdom
54.973382,-1.517236,1,Aln Street,Hebburn,Hebburn,,Tyne and Wear,,NE31 1XT,United Kingdom
55.057592,-1.596188,27,McNulty Court,Dudley,Cramlington,,Tyne and Wear,,NE23 7HX,United Kingdom
54.953757,-1.570232,1/3,Helmsdale Avenue,Gateshead,Gateshead,,Tyne and Wear,,NE10 0JD,United Kingdom
54.991554,-1.427608,103,Westoe Road,South Shields,South Shields,,Tyne and Wear,,NE33 4LX,United Kingdom
55.159289,-1.674765,9,Ninth Avenue,Morpeth,Morpeth,,Northumberland,,NE61 2HS,United Kingdom
55.035758,-1.513326,5,Saint Marks Court,Shiremoor,Newcastle upon Tyne,,Tyne and Wear,,NE27 0RS,United Kingdom
54.922953,-1.57301,12,Tanfield Road,Gateshead,Gateshead,,Tyne and Wear,,NE9 7AE,United Kingdom
54.981923,-1.980445,,Unnamed Road,,Corbridge,,Northumberland,,NE45 5PR,United Kingdom
54.981274,-1.488135,1,Viking Precinct,Jarrow,Jarrow,,Tyne and Wear,,NE32 3LF,United Kingdom
55.127349,-1.603687,154,Hartlands,Bedlington,Bedlington,,Northumberland,,NE22 6JJ,United Kingdom
55.023751,-1.479843,19,Barnstaple Road,North Shields,North Shields,,Tyne and Wear,,NE29 8QD,United Kingdom
54.890187,-2.343107,,Unnamed Road,,Hexham,,Northumberland,,NE47,United Kingdom
55.020879,-1.485306,10,Phoenix Chase,North Shields,North Shields,,Tyne and Wear,,NE29 8SH,United Kingdom
55.033959,-1.550131,8,Applewood,Killingworth,Newcastle upon Tyne,,Tyne and Wear,,NE12 6FB,United Kingdom
54.936918,-1.677229,95,Whaggs Lane,Whickham,Newcastle upon Tyne,,Tyne and Wear,,NE16 4PW,United Kingdom
54.99836,-1.68976,407,Stamfordham Road,Newcastle upon Tyne,Newcastle upon Tyne,,Tyne and Wear,,NE5 5HA,United Kingdom
55.587373,-1.691624,2,New Shoreston Cottages,,Bamburgh,,Northumberland,,NE69 7AS,United Kingdom
55.019744,-1.645283,25,Belsay Gardens,Newcastle upon Tyne,Newcastle upon Tyne,,Tyne and Wear,,NE3 2AU,United Kingdom
54.961256,-1.70606,,B6317,,Blaydon-on-Tyne,,Tyne and Wear,,NE21,United Kingdom
55.091709,-1.574035,8,Kirkbride Place,Cramlington,Cramlington,,Northumberland,,NE23 2XG,United Kingdom
54.991745,-1.748936,240,Newburn Road,Newcastle upon Tyne,Newcastle upon Tyne,,Tyne and Wear,,NE15 9AE,United Kingdom
55.042657,-1.526215,6,Telford Close,Backworth,Newcastle upon Tyne,,Tyne and Wear,,NE27 0JT,United Kingdom
55.040982,-1.955513,2,The Green,Matfen,Newcastle upon Tyne,,Northumberland,,NE20 0RJ,United Kingdom
55.391714,-2.269841,1,Harbottle,Harbottle,Morpeth,,Northumberland,,NE65 7DD,United Kingdom
55.084675,-1.591328,,Forum Way,Cramlington,Cramlington,,Northumberland,,NE23,United Kingdom
55.346983,-1.611896,,A1068,Warkworth,Morpeth,,Northumberland,,NE65,United Kingdom
54.947284,-1.614779,46-48,Macadam Street,Gateshead,Gateshead,,Tyne and Wear,,NE8 4TS,United Kingdom
55.132683,-1.586272,3A,Millbank Road,Bedlington,Bedlington,,Northumberland,,NE22 5QJ,United Kingdom
54.988962,-1.532755,17,Wooley Street,Wallsend,Wallsend,,Tyne and Wear,,NE28 6HB,United Kingdom
55.027916,-1.587054,9,Hawks Edge,West Moor,Newcastle upon Tyne,,Tyne and Wear,,NE12 7DR,United Kingdom
54.924884,-1.524229,7,The Fairway,Washington,Washington,,Tyne and Wear,,NE37 1NF,United Kingdom
55.005558,-1.470258,5,Balkwell Avenue,North Shields,North Shields,,Tyne and Wear,,NE29 7JN,United Kingdom
54.982978,-2.159445,1,Coastley Cottages,,Hexham,,Northumberland,,NE46 2PQ,United Kingdom
