Latitude,Longitude,Number,Road,Locality,Post town,Admin area level 3,Admin area level 2,Admin area level 1,Postcode,Country
54.540244,-1.303572,492-500,Thornaby Road,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 0JX,United Kingdom
54.513372,-1.211253,23,Woodrush,Coulby Newham,Middlesbrough,,Middlesbrough,,TS8 0XB,United Kingdom
54.603955,-1.421224,15,Whitton Grove,Stillington,Stockton-on-Tees,,Stockton-on-Tees,,TS21 1JJ,United Kingdom
54.612252,-1.315756,24-32,Skripka Drive,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS22 5EZ,United Kingdom
54.589049,-1.003109,17,Drake Close,Marske-by-the-Sea,Redcar,,Redcar and Cleveland,,TS11 7JG,United Kingdom
54.68205,-1.216411,1,Gainford Street,Hartlepool,Hartlepool,,Hartlepool,,TS26,United Kingdom
54.560956,-1.22645,35,Lambton Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS4 2RF,United Kingdom
54.572197,-1.229665,137-139,Borough Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 3AT,United Kingdom
54.565625,-1.250711,149,Ayresome Street,Middlesbrough,Middlesbrough,,Middlesbrough,,TS1 4PX,United Kingdom
54.578972,-1.177523,29,Coulthard Court,South Bank,Middlesbrough,,Redcar and Cleveland,,TS6 6XE,United Kingdom
54.564159,-1.247632,14,The Holgate,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 6BX,United Kingdom
54.609286,-1.086691,25,Kettleness Avenue,Redcar,Redcar,,Redcar and Cleveland,,TS10 5EW,United Kingdom
54.594613,-1.336311,30,Fairview Gardens,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS20 1UA,United Kingdom
54.577124,-1.170072,23,Steele Crescent,South Bank,Middlesbrough,,Redcar and Cleveland,,TS6 6QJ,United Kingdom
54.55017,-1.229276,45,Tranter Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS4 3HL,United Kingdom
54.57137,-1.162997,,Trunk Road,,Middlesbrough,,Redcar and Cleveland,,TS6,United Kingdom
54.561186,-1.234913,1,Exeter Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 6NH,United Kingdom
54.484331,-1.140123,20,Angrove Close,Great Ayton,Middlesbrough,,North Yorkshire,,TS9 6LF,United Kingdom
54.550465,-1.304297,10,Lanehouse Road,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 8AG,United Kingdom
54.577995,-1.171616,13,Stephens Road,South Bank,Middlesbrough,,Redcar and Cleveland,,TS6 6SH,United Kingdom
54.564292,-1.245836,3,Ayresome Park Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 6BF,United Kingdom
54.573932,-1.308571,21,Douglas Walk,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS20 2UW,United Kingdom
54.618009,-1.274926,34,Otterburn Way,Stockton-on-Tees,Billingham,,Stockton-on-Tees,,TS23 3QS,United Kingdom
54.694362,-1.191632,,Ferry Road,Hartlepool,Hartlepool,,Hartlepool,,TS24,United Kingdom
54.595255,-1.081576,6,Queensbury Close,Redcar,Redcar,,Redcar and Cleveland,,TS10 4QA,United Kingdom
54.693382,-1.241309,25,Padstow Close,Hartlepool,Hartlepool,,Hartlepool,,TS26 0XQ,United Kingdom
54.473431,-1.190134,15,Springfield Gardens,Stokesley,Middlesbrough,,North Yorkshire,,TS9 5PH,United Kingdom
54.46571,-1.108787,,Unnamed Road,,Middlesbrough,,North Yorkshire,,TS9 6LH,United Kingdom
54.563335,-1.157642,15,Spencer Road,,Middlesbrough,,Redcar and Cleveland,,TS6 9BJ,United Kingdom
54.533371,-0.902275,6,Liverton Road,Liverton,Saltburn-by-the-Sea,,Redcar and Cleveland,,TS13 4TB,United Kingdom
54.456517,-1.272898,10,Rudby Lea,Hutton Rudby,Yarm,,North Yorkshire,,TS15 0JZ,United Kingdom
54.532656,-1.243487,14,Medina Gardens,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 8BN,United Kingdom
54.554774,-1.298041,2,Cobden Street,Thornaby,Stockton-on-Tees,,Stockton-on-Tees,,TS17 7DG,United Kingdom
54.565438,-1.167029,10,Lime Road,Normanby,Middlesbrough,,Redcar and Cleveland,,TS6 0DN,United Kingdom
54.517587,-1.351371,8,Prestwick Court,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS16 9ED,United Kingdom
54.557243,-1.262079,3,East Row,Middlesbrough,Middlesbrough,,Middlesbrough,,TS5 4HB,United Kingdom
54.734651,-1.381284,2,Snaith Terrace,Wingate,Wingate,,County Durham,,TS28 5BL,United Kingdom
54.67281,-1.212712,9-35,Patterdale Street,Hartlepool,Hartlepool,,Hartlepool,,TS25,United Kingdom
54.566974,-1.309502,,The Square,Stockton-on-Tees,Stockton-on-Tees,,Stockton-on-Tees,,TS18 1TE,United Kingdom
54.537329,-1.056682,95,Bolckow Street,Guisborough,Guisborough,,Redcar and Cleveland,,TS14 6EF,United Kingdom
54.522586,-1.179296,3,Clevegate,Nunthorpe,Middlesbrough,,Middlesbrough,,TS7 0QU,United Kingdom
54.654419,-1.364237,,Unnamed Road,,Billingham,,County Durham,,TS22 5NP,United Kingdom
54.5515,-1.231334,28-50,Shelley Road,Middlesbrough,Middlesbrough,,Middlesbrough,,TS4,United Kingdom
54.70012,-1.241457,8,Hazelhen Close,Hartlepool,Hartlepool,,Hartlepool,,TS26 0RE,United Kingdom
54.501545,-1.360155,43,Worsall Road,Yarm,Yarm,,Stockton-on-Tees,,TS15 9DG,United Kingdom
54.55044,-1.20144,9,Ettington Avenue,Middlesbrough,Middlesbrough,,Middlesbrough,,TS3 7EH,United Kingdom
